,no_partner,1partner,2_3partners,group, 1st time,2nd time,more than 2,tlevel_1,tlevel_2,tlevel_3,tlevel_4
Cocktail Saint Valentin sans alcool,0.0018884989747739863,0.4021544263704267,0.5978455736295735,0.0018884989747739863,1.0,0.0007501969667433718,0.0007501969667433718,0.0006362091606899325,0.0006362091606899325,0.2747614740990519,0.7252385259009481
COMPOTEE CERISE NOIRE,0.29589103274571243,0.3976540605491961,0.3064549067050914,0.0018884989747739863,0.9578809320483104,0.04211906795168965,0.0007501969667433718,0.009635597554787155,0.08497878992545746,0.05174518326139943,0.853640429258356
Crème au bleu,0.1284047762066818,0.5026344005674556,0.36707232425108866,0.0018884989747739863,0.988826113627901,0.007867328159947293,0.0033065582121517612,0.12117475678077388,0.16000945213856116,0.21552216412949443,0.5032936269511705
CREME POIVRE VERT,0.29211437213048835,0.09045009295924449,0.6174355349102673,0.0018884989747739863,0.978689587062527,0.021310412937472992,0.0007501969667433718,0.00203885437516011,0.0006362091606899325,0.10597624514607334,0.8919849004787664
CREMEBRULEE,0.15165066831654186,0.43627982562885137,0.35894808502474723,0.05312142102985949,0.9622544212973814,0.03345179879576703,0.004293779906851586,0.0728479053623258,0.13315895481546142,0.43119962721268373,0.3627935126095291
CROQUANT,0.1356253936654146,0.5102642566059746,0.32467494648425893,0.029435403244351968,0.9121073537835032,0.07634179996145873,0.011550846255038104,0.11195083407448961,0.15675181492906143,0.3355150769449772,0.3957822740514718
DECA,0.1183210634289518,0.5205034498678076,0.35095828322878525,0.010217203474455296,0.9685885595707029,0.013300131256882043,0.01811130917241503,0.15794364224121055,0.0818627128873677,0.2036742315022819,0.5565194133691398
DESPERADOS,0.1926952169865519,0.1303002624705933,0.22707177652854102,0.44993274401431377,0.8547946165708677,0.1452053834291322,0.0007501969667433718,0.07551671010945199,0.011645125575821869,0.1694821236024477,0.7433560407122785
Dessert du jour,0.0018884989747739863,0.9651523822952868,0.03484761770471317,0.0018884989747739863,1.0,0.0007501969667433718,0.0007501969667433718,0.01469289094232712,0.017134591587013675,0.3896489445196952,0.578523572950964
Domaine La Colombette Rosé,0.0018884989747739863,0.18626121763832398,0.8137387823616761,0.0018884989747739863,1.0,0.0007501969667433718,0.0007501969667433718,0.0006362091606899325,0.0006362091606899325,0.0006362091606899325,1.0
DOUBLE EXPRESSO,0.45306355225257033,0.42962675154893054,0.11730969619849914,0.0018884989747739863,0.28086142064506897,0.04458271516216554,0.6745558641927656,0.11080213078591357,0.01435727784152163,0.01305965917825514,0.8617809321943096
DUOSALADE,0.22605323623086915,0.39783267006875644,0.31998936573694875,0.05612472796342566,0.9305590941889825,0.024686007031957634,0.0447548987790598,0.14752581880150778,0.15294184570736416,0.22534958689316154,0.47418274859796655
EVIAN,0.33027239511126494,0.152136092723027,0.47775845969928726,0.03983305246642084,0.8213783675531205,0.1444676060229706,0.03415402642390881,0.03322532234502711,0.12245898392619971,0.563917310329551,0.28039838339922213
EXPRESSO,0.19207286366404377,0.47922901465628825,0.25762532473533595,0.07107279694433198,0.8943001389686867,0.03881100032879014,0.06688886070252328,0.16090021460175988,0.06143381248742331,0.1855961117219901,0.5920698611888268
FRAICHEUR,0.22404075359280579,0.26228544798057585,0.4991426081569604,0.014531190269657927,0.8186693573932041,0.011241522317941526,0.17008912028885437,0.0006362091606899325,0.5295178546876489,0.2425840937756669,0.2278980515366842
FUMAX,0.24443559523287733,0.37189584207998494,0.37475069261930083,0.008917870067836843,0.8773560347620804,0.07864023307155947,0.04400373216636013,0.13536843363675116,0.38055789473744095,0.11495669912576839,0.36911697250003944
GATEAUCAROTTE,0.1793636959285038,0.4185104976932515,0.32061111404251047,0.08151469233573434,0.9000695689333525,0.07035918105712936,0.029571250009518137,0.0485440881043581,0.13869224528072427,0.36221512880368556,0.45054853781123205
GET,0.6387020205110903,0.06729580158987052,0.29400217789903915,0.0018884989747739863,1.0,0.0007501969667433718,0.0007501969667433718,0.054054850207676676,0.0006362091606899325,0.0006362091606899325,0.9459451497923232
GIN,0.34965669917821485,0.06549512980128627,0.01788346221870477,0.5669647088017941,0.6939951251938843,0.30600487480611566,0.0007501969667433718,0.04824696529955772,0.05626476429762484,0.051179523972628094,0.8443087464301894
GRIMBERGEN,0.2279825505488991,0.2736143324750523,0.44641808484539297,0.051985032130655556,0.9891267547969042,0.010873245203095842,0.0007501969667433718,0.01464830221583281,0.004952941164699367,0.17800499134109862,0.8023937652783691
GROSSEFRITE,0.2274717530179389,0.33020977975474847,0.38398189983511644,0.058336567392196254,0.8949461900187613,0.06297535092995887,0.04207845905127989,0.17204980464116182,0.1703928919864533,0.1973595967781594,0.4601977065942255
HAMBOURGEOIS DU MOMENT,0.38738489978263174,0.2834591978097044,0.30959443060602376,0.019561471801640175,0.8064827272311301,0.08762652243315368,0.10589075033571617,0.01419378674937697,0.0720927481316892,0.23569568352638162,0.6780177815925521
HAMBOURGEOIS DU MOMENT MENU,0.0018884989747739863,1.0,0.0018884989747739863,0.0018884989747739863,1.0,0.0007501969667433718,0.0007501969667433718,0.0006362091606899325,0.0006362091606899325,0.301214707813526,0.698785292186474
HAMPE,0.14163628989687396,0.3889560125083416,0.43362244886128914,0.03578524873349529,0.9713704348710871,0.010678054021053993,0.017951511107858885,0.11608046594644304,0.23786932765988023,0.29009239463564984,0.35595781175802693
HOEGGARDEN,0.1690429727301081,0.2849750146437112,0.43891114314664026,0.10707086947954038,0.9707224489965113,0.015047679845368422,0.01422987115812014,0.009118823462836755,0.002100585067815969,0.20074638946143847,0.7880342020079089
INFUSION,0.03255834558646002,0.36629659988191554,0.6011450545316245,0.0018884989747739863,0.9731808206940749,0.02681917930592508,0.0007501969667433718,0.20978371369883286,0.03320680940876079,0.44938475585187876,0.3076247210405275
JUS FRUIT MAISON,0.17533123574265358,0.3914387998113417,0.41002198248031796,0.02320798196568677,0.9505350405658756,0.036712858593253225,0.012752100840871281,0.13219454877917672,0.09866429634856298,0.41210340157885295,0.35703775329340737
KEKETTE EXTRA,0.14343403010230493,0.46206146000190723,0.36553300649628795,0.02897150339949974,0.8797767517443285,0.12022324825567146,0.0007501969667433718,0.015421288609324856,0.010879231753766717,0.14722766181302058,0.8264718178238878
KEKETTE RED,0.06169742533845524,0.2662665858135697,0.3479007679050225,0.32413522094295255,0.968512023377853,0.02217010598906257,0.00931787063308427,0.07126262649600958,0.006784099959799891,0.18667121560897054,0.7352820579352201
KIR,0.035595316248872855,0.6338248188168067,0.20071563422414684,0.1298642307101735,0.6097119712725414,0.02419575380251091,0.36609227492494767,0.09752513279937518,0.0006362091606899325,0.06620987451275974,0.836264992687865
LATTE MACCHIATTO,0.0018884989747739863,1.0,0.0018884989747739863,0.0018884989747739863,1.0,0.0007501969667433718,0.0007501969667433718,0.5768529459083469,0.07474619810433547,0.06799059563296055,0.2804102603543571
LILLET,0.0018884989747739863,0.7629682565242382,0.2370317434757619,0.0018884989747739863,0.9682448435236497,0.03175515647635034,0.0007501969667433718,0.15652445807513443,0.18253607632585403,0.10626455386276358,0.554674911736248
MALIBU,0.10737376759559199,0.10181936451146584,0.7908068678929423,0.0018884989747739863,1.0,0.0007501969667433718,0.0007501969667433718,0.042185488738228735,0.012298994174553324,0.011187404320510713,0.9343281127667071
MARTINI,0.17765662859765946,0.3336977444070145,0.48864562699532615,0.0018884989747739863,0.8090660333263856,0.16584143631016351,0.02509253036345083,0.024580495833945455,0.041278093782550304,0.15018942790648854,0.7839519824770158
MAX CUVEE ,0.08673667444987182,0.3289992805537506,0.44362142757338635,0.1406426174229912,0.9682448435236497,0.03175515647635034,0.0007501969667433718,0.002258680757956798,0.0006362091606899325,0.00958387374464967,0.9881574454973935
MAXCHAMPETRE,0.15906038960601357,0.4385390873085923,0.2985287828673569,0.10387174021803723,0.8061030014898993,0.07915548804185585,0.11474151046824474,0.2525931920201568,0.21187687854052584,0.1927273297929413,0.34280259964637616
MAXCHAMPETRE MENU,0.11135651428974543,0.32619396773285564,0.5490191800447151,0.013430337932683854,0.9545086768275484,0.04549132317245157,0.0007501969667433718,0.001833143670192447,0.23569024282679,0.5619796464143941,0.20049696708862344
MAXCOCOTTE,0.13964116255762785,0.3462399006372019,0.4993586632886148,0.014760273516555532,0.9201653691182032,0.04377455126226937,0.0360600796195274,0.3054806907515324,0.19729374272710043,0.14739036319001408,0.34983520333135315
MAXCOCOTTE MENU,0.1364521442245747,0.27833985593346183,0.5652949836298496,0.019913016212113756,0.966822484407377,0.017052130919113506,0.01612538467350951,0.0006362091606899325,0.2144194921620318,0.6485590834408095,0.13638521523646874
MAXHALEINE,0.3889173754765525,0.35718385188316565,0.16237942744993822,0.09151934519034369,0.2879817607616577,0.04414129245951988,0.6678769467788225,0.2226886694148479,0.16913386544807496,0.11633077785927297,0.4918466872778042
MAXHALEINE MENU,0.08288396017097754,0.11040153496795804,0.7917816736160422,0.014932831245022137,0.9707224489965113,0.015047679845368422,0.01422987115812014,0.0023957661771442217,0.1369011232765219,0.571811898226164,0.28889121232017
