"D.PersonID","D.OrderHeaderID","H.ID","DeviceID","H.CreationDatetime","H.H.LastEditionDatetime","D.WorkspaceLocation","user_visit","H.NbDiners","nb_visits","avg_ticketU","Date","pch_freq"
"10200",1145,1145,"5","2016-09-27 17:39:29.103","2016-09-27 17:39:29.103","NULL",0,2,1,21.5,2016-09-27,0
"10201",1146,1146,"9","2016-09-27 18:31:30.807","2016-09-27 18:31:30.807","NULL",0,2,1,13,2016-09-27,0
"10202",1146,1146,"9","2016-09-27 18:31:30.807","2016-09-27 18:31:30.807","NULL",0,2,1,15.5,2016-09-27,0
"10203",1147,1147,"7","2016-09-27 18:57:54.533","2016-09-27 18:57:54.533","NULL",0,2,1,16,2016-09-27,0
"10204",1147,1147,"7","2016-09-27 18:57:54.533","2016-09-27 18:57:54.533","NULL",0,2,1,13,2016-09-27,0
"10206",1148,1148,"3","2016-09-27 19:20:22.370","2016-09-27 19:20:22.370","NULL",0,2,1,20,2016-09-27,0
"10207",1148,1148,"3","2016-09-27 19:20:22.370","2016-09-27 19:20:22.370","NULL",0,2,1,23,2016-09-27,0
"10208",1149,1149,"5","2016-09-27 20:13:52.067","2016-09-27 20:14:46.293","NULL",0,1,1,25,2016-09-27,0
"10209",1149,1149,"5","2016-09-27 20:13:52.067","2016-09-27 20:14:46.293","NULL",0,1,1,14,2016-09-27,0
"10210",1149,1149,"5","2016-09-27 20:13:52.067","2016-09-27 20:14:46.293","NULL",0,1,1,10,2016-09-27,0
"10211",1149,1149,"5","2016-09-27 20:13:52.067","2016-09-27 20:14:46.293","NULL",0,1,1,18.5,2016-09-27,0
"10212",1150,1150,"3","2016-09-28 10:10:20.133","2016-09-28 10:10:20.133","NULL",0,3,1,19.5,2016-09-28,0
"10213",1150,1150,"3","2016-09-28 10:10:20.133","2016-09-28 10:10:20.133","NULL",0,3,1,13.5,2016-09-28,0
"10215",1150,1150,"3","2016-09-28 10:10:20.133","2016-09-28 10:10:20.133","NULL",0,3,1,15,2016-09-28,0
"10216",1153,1153,"11","2016-09-28 11:08:01.503","2016-09-28 11:08:01.503","NULL",1,2,2,31.5,2016-09-28,0
"10216",1151,1151,"11","2016-09-28 10:35:17.323","2016-09-28 10:35:17.323","NULL",1,4,2,31.5,2016-09-28,0
"10217",1151,1151,"11","2016-09-28 10:35:17.323","2016-09-28 10:35:17.323","NULL",0,4,1,15.7,2016-09-28,0
"10218",1151,1151,"11","2016-09-28 10:35:17.323","2016-09-28 10:35:17.323","NULL",0,4,1,12.5,2016-09-28,0
"10219",1153,1153,"11","2016-09-28 11:08:01.503","2016-09-28 11:08:01.503","NULL",1,2,2,10.05,2016-09-28,0
"10219",1151,1151,"11","2016-09-28 10:35:17.323","2016-09-28 10:35:17.323","NULL",1,4,2,10.05,2016-09-28,0
"10220",1152,1152,"8","2016-09-28 10:45:50.857","2016-09-28 10:45:50.857","NULL",0,2,1,18.5,2016-09-28,0
"10221",1152,1152,"8","2016-09-28 10:45:50.857","2016-09-28 10:45:50.857","NULL",0,2,1,16,2016-09-28,0
"10223",1154,1154,"9","2016-09-28 11:09:21.347","2016-09-28 11:13:36.557","NULL",1,1,2,15.5,2016-09-28,0
"10223",1155,1155,"9","2016-09-28 11:53:25.273","2016-09-28 11:53:25.273","NULL",1,1,2,15.5,2016-09-28,0
"10224",1156,1156,"7","2016-09-28 12:04:16.003","2016-09-28 12:04:16.003","NULL",0,2,1,12.5,2016-09-28,0
"10225",1156,1156,"7","2016-09-28 12:04:16.003","2016-09-28 12:04:16.003","NULL",0,2,1,19,2016-09-28,0
"10230",1157,1157,"3","2016-09-28 17:37:08.553","2016-09-28 17:37:08.553","NULL",0,2,1,17.5,2016-09-28,0
"10231",1157,1157,"3","2016-09-28 17:37:08.553","2016-09-28 17:37:08.553","NULL",0,2,1,19,2016-09-28,0
"10232",1158,1158,"7","2016-09-28 17:38:16.523","2016-09-28 17:39:56.267","NULL",0,1,1,20,2016-09-28,0
"10233",1158,1158,"7","2016-09-28 17:38:16.523","2016-09-28 17:39:56.267","NULL",0,1,1,20.5,2016-09-28,0
"10235",1159,1159,"11","2016-09-28 17:59:17.787","2016-09-28 17:59:17.787","NULL",0,2,1,34.5,2016-09-28,0
"10236",1160,1160,"11","2016-09-28 18:46:04.880","2016-09-28 18:46:04.880","NULL",1,1,2,8.75,2016-09-28,0
"10236",1159,1159,"11","2016-09-28 17:59:17.787","2016-09-28 17:59:17.787","NULL",1,2,2,8.75,2016-09-28,0
